id_loan,monto_asignado,motivo
4321b8bd-3b16-4d40-9f0e-8cbe3274a8e7,818.05,Punto ciego dayslate (bug 9)
13fa3987-dde2-4e79-9f83-ddbf7c19cbc0,1616.16,Punto ciego dayslate (bug 9)
0536e807-f70d-4577-97f1-afaf285042d5,374.65,Punto ciego dayslate (bug 9)
c2319b98-df7d-43d1-a08e-95f701d9e060,1073.92,Punto ciego dayslate (bug 9)
e183c791-cd01-4ed9-aac2-ef98b53fdb16,1967.45,Punto ciego dayslate (bug 9)
e1388902-84a0-4265-9093-0fa89239d502,6299.07,Punto ciego dayslate (bug 9)
ef9e34b9-6bc1-451e-8b33-afc5394befc8,301.5,Punto ciego dayslate (bug 9)
51febdfc-8dc1-4baa-8ab9-54556140c889,1259.74,Punto ciego dayslate (bug 9)
729d83ad-9b7c-4c47-bd3d-e15079c4a102,1545.0,Punto ciego dayslate (bug 9)
944336c9-ac8c-40d5-9ac3-ad031266a817,230.05,Punto ciego dayslate (bug 9)
2152b39c-3395-4dbe-8af9-511ab4224afc,846.73,Punto ciego dayslate (bug 9)
55f0b293-403c-49f6-9fbb-2974c02af103,3135.0,Punto ciego dayslate (bug 9)
e1b7628f-50cc-4c0c-8766-f8d0d1de2ce6,854.29,Punto ciego dayslate (bug 9)
da14bc42-5516-499a-9450-f2db57ca27ca,2148.11,Punto ciego dayslate (bug 9)
5af0f614-c699-49d4-9943-056cb2324503,2239.6,Punto ciego dayslate (bug 9)
c3bb21dd-409f-4fb5-9b2a-2726f9dc1da0,189.93,Punto ciego dayslate (bug 9)
fc484ae2-4d27-4612-9526-0e46e5aa885a,5006.4,Punto ciego dayslate (bug 9)
0828c3ee-ca0f-4060-a8cd-91530c64fc36,1425.16,Punto ciego dayslate (bug 9)
48a7af5b-624b-4ece-9121-6cd2f138500f,106.99,Punto ciego dayslate (bug 9)
c8970c6a-7b09-469f-890d-6106b9fe7e3b,1411.46,Punto ciego dayslate (bug 9)
2e7b8469-83df-49de-844d-99b0cac6018a,333.7,Punto ciego dayslate (bug 9)
00b2b19b-aef5-42b2-99b3-56bc911b42c2,9124.21,Punto ciego dayslate (bug 9)
024ab5a3-b37a-4016-97c8-02d0e080b936,162.98,Punto ciego dayslate (bug 9)
98c5dbab-b791-492d-ac0d-6b21c82f8645,538.72,Punto ciego dayslate (bug 9)
cde2f1df-19fb-4d88-9a1f-b0170e9d2b06,2175.6,Punto ciego dayslate (bug 9)
513f2b79-7839-41f3-8631-ec30c2d3accf,1897.2,Punto ciego dayslate (bug 9)
ffccd2ac-9013-4166-9670-ac5f2f3714c5,1500.19,Punto ciego dayslate (bug 9)
8cb4faa6-328a-4e15-bb3a-64f090e9d124,767.71,Reenganche (excluido por flg_last_loan_in_chain)
b33a8bb0-0624-423d-8543-837ddf6d1198,952.25,Punto ciego dayslate (bug 9)
e99dfecb-3a4c-4445-8f81-dd0de890f652,819.27,Punto ciego dayslate (bug 9)
adc0357c-0512-48e0-b5c9-f2cd29060684,4414.84,Punto ciego dayslate (bug 9)
fa135d43-9e6a-4632-9963-9370d2987bd6,131.86,Punto ciego dayslate (bug 9)
8f8ddfe0-2f0f-4bc7-97f8-0759af199eb3,3458.83,Punto ciego dayslate (bug 9)
3ff6a36e-0385-4adb-8d43-186964d5b766,926.88,Punto ciego dayslate (bug 9)
5723d9c1-13d6-4bf5-8025-620db398f6b7,876.82,Punto ciego dayslate (bug 9)
7fd00fc8-e835-469d-8220-adc9aaa05bc6,605.19,Punto ciego dayslate (bug 9)
605ce93c-e9cf-481f-ac3a-940bba8c3b79,780.58,Punto ciego dayslate (bug 9)
80d388ea-df14-4470-8791-dd0e41b5c5ff,1545.0,Punto ciego dayslate (bug 9)
235faca1-551b-461b-a483-7ad80951c4d9,992.94,Punto ciego dayslate (bug 9)
201b4acd-c37c-4e46-b3e0-ea2140282fd3,524.95,Punto ciego dayslate (bug 9)
d8fc0e02-33c2-430f-a5dd-448d86070b1b,2808.48,Punto ciego dayslate (bug 9)
28a8d6f4-bb4a-40b2-be95-1edbee1f8dac,373.41,Reenganche (excluido por flg_last_loan_in_chain)
200e416e-6f32-4e9c-b000-dd130f4899fa,263.06,Punto ciego dayslate (bug 9)
72ee41fa-3a87-40df-9442-6c8c686fe1b4,1916.09,Punto ciego dayslate (bug 9)
f2db1be6-aaf4-4646-a012-5e60b74b98d5,3777.5,Punto ciego dayslate (bug 9)
0e9790f2-d585-4d01-9ad0-0376b31569ef,374.98,Punto ciego dayslate (bug 9)
df100e7d-ae95-4b94-9e12-65ad036fc4b8,915.08,Punto ciego dayslate (bug 9)
5c0bdd63-5bb9-4e7b-8cf1-4cc44a2b1e2d,358.2,Punto ciego dayslate (bug 9)
6124e315-b696-43dc-8941-7c454fb7fe85,1042.63,Punto ciego dayslate (bug 9)
d9d9e9ff-ac6a-49fb-b27e-69d29d32f0f6,275.76,Punto ciego dayslate (bug 9)
b5ad043e-3d11-447e-abec-969b242fd642,414.42,Punto ciego dayslate (bug 9)
ac56b684-4efe-4d0a-aceb-112867383aad,300.39,Punto ciego dayslate (bug 9)
d68bd11c-24f6-4d68-a301-9f182ae090d4,5498.3,Punto ciego dayslate (bug 9)
e1324c90-72e8-460e-8272-6e4dca6fce5a,1549.39,Punto ciego dayslate (bug 9)
ee29756b-2923-4324-a389-b3dee7056c8c,871.28,Punto ciego dayslate (bug 9)
ec14490c-674d-4e7b-a5b3-6b1d4c8b3c55,408.2,Punto ciego dayslate (bug 9)
72120982-9185-4760-ad71-a5e92670de75,1113.88,Punto ciego dayslate (bug 9)
2348b0c5-07d0-483f-81ae-e9c48686e0fc,1567.46,Punto ciego dayslate (bug 9)
78fd1808-f886-4a8d-8335-1553fb92fe92,446.7,Punto ciego dayslate (bug 9)
ffc331b7-586b-4346-be42-cb6b37a9a794,9653.48,Punto ciego dayslate (bug 9)
6995da1b-bf70-45b6-b019-9ddc30f0a6d2,4324.58,Punto ciego dayslate (bug 9)
d4565e77-89ff-4875-818a-c0873ae6e400,592.96,Punto ciego dayslate (bug 9)
e928cfc6-b54b-424d-ae18-5bda2a7a7959,379.88,Punto ciego dayslate (bug 9)
ea9c19b8-7564-48f0-b4a6-25cbbbb4ed01,4575.45,Punto ciego dayslate (bug 9)
dc0389be-5dff-474e-92f2-e976fc3115f9,2722.12,Punto ciego dayslate (bug 9)
2b59f5ee-16fb-4cfc-8b2c-6711bc047a98,1452.9,Punto ciego dayslate (bug 9)
7254ed2d-ceae-4248-a1cd-c9b243bb8fb3,1167.55,Punto ciego dayslate (bug 9)
151a698b-5f02-45c5-91bd-52575a3eb411,181.97,Punto ciego dayslate (bug 9)
a1d89df4-4b9b-42c8-a361-0c0cb0d65ca6,2238.95,Punto ciego dayslate (bug 9)
bd26e19d-3460-41b0-aade-06a505c8bd1f,899.75,Punto ciego dayslate (bug 9)
8a0cc6c9-6963-444d-9ebb-9ba1b89233e5,8368.54,Punto ciego dayslate (bug 9)
ed5612e5-8e70-4d21-ba46-39403681d87c,345.67,Punto ciego dayslate (bug 9)
1bc96066-94b9-44fe-9e8a-a6017d4fca99,502.9,Punto ciego dayslate (bug 9)
e78edef5-bd2e-474f-840c-06c10636fbc2,282.97,Punto ciego dayslate (bug 9)
8c80215a-aac3-4abf-bd0e-895157312836,543.85,Punto ciego dayslate (bug 9)
301737a9-28e0-4c9e-9200-c9ca271b3da5,10459.59,Punto ciego dayslate (bug 9)
30ec3c77-e86a-422e-ac89-83c74b4de840,1848.74,Punto ciego dayslate (bug 9)
44b3daee-6fbb-4abd-828a-0833381a1b06,1069.63,Punto ciego dayslate (bug 9)
b9c2ce97-3b9e-4aae-8bac-73825d1a987c,1461.65,Punto ciego dayslate (bug 9)
a8fedfb0-9234-40de-9a8f-aa8156c182c5,1237.19,Punto ciego dayslate (bug 9)
689e86a0-64a3-4aac-9881-599a36bbab0e,516.23,Punto ciego dayslate (bug 9)
254fc2b6-bc08-4f10-af32-3c1d09ad9249,682.47,Punto ciego dayslate (bug 9)
a45a6aed-5bd2-4e75-b762-9e106aaf04c3,1342.38,Punto ciego dayslate (bug 9)
9c528c5b-319b-40a2-81d9-364282f99b16,3790.01,Punto ciego dayslate (bug 9)
920164f2-2311-4f6e-b585-094c81bf8f1a,3049.19,Punto ciego dayslate (bug 9)
0344f9a8-64f4-4509-8a82-1cbfd9371949,838.78,Punto ciego dayslate (bug 9)
5af5efba-04fa-4754-8c8a-a86b989559ef,4228.27,Punto ciego dayslate (bug 9)
af565872-5ce5-45b7-bda0-a51df4bacae2,388.7,Punto ciego dayslate (bug 9)
1acc3f0c-7976-4ea7-96cf-3be5b8c7aa90,719.97,Punto ciego dayslate (bug 9)
7d1b48a3-a8e1-491d-b627-90bff926f55f,1442.74,Punto ciego dayslate (bug 9)
664c6d21-9b25-42f3-8e08-d1697948ec60,1166.31,Punto ciego dayslate (bug 9)
