"id_loan","saldo","motivo"
"b43137ff-a7ae-4429-879e-ac1117c0f9f9","3074.31","Grupo de control"
"bce4bb9c-5eaf-4191-8a2a-286d26d5e766","729.49","Sin asignar"
"cd97d52e-050d-4796-bc2d-b82c50c50f70","1415.59","Grupo de control"
"d27dfac8-4a6b-435a-8ec9-83259a9141be","352.12","Sin asignar"
"eb306b34-262b-4aba-aae4-6062f025138c","6988.32","Grupo de control"
"f4767ec4-c501-47c9-aaad-eecde134b42b","359.94","Sin asignar"
"e27cc71f-fa7f-4784-8ff9-62425775b2ff","322.7","Grupo de control"
"1cf0ecb7-dbb3-4d5f-a27d-c7df1fece725","484.07","Grupo de control"
"4dfac085-add3-4c6a-98fa-456cb2949cf8","373.08","Sin asignar"
"6885a669-e947-43e1-ab77-eeba53ef7b27","745.89","Grupo de control"
"7108f704-2621-4044-b39e-f0c36eb88be9","1490.76","Grupo de control"
"90c203ae-9157-4c12-b519-116ea24f19c8","1039.15","Grupo de control"
"a1cf5905-c973-473d-95a8-ae3aceb0ed3e","2319.69","Grupo de control"
"aedef8fd-6b29-44bc-a758-e1c19983a7b2","186.42","Sin asignar"
"0e463ac7-2a3b-46f1-b44a-8a8c0cb2e7bc","9295.38","Grupo de control"
"d87cea9f-b3a6-45b2-8d8d-c4094708d57b","2443.94","Grupo de control"
"281b716f-a703-4fb5-bdd2-9616827fde4b","3506.41","Grupo de control"
"6a1ec011-7bf4-4218-9ae4-aabb1a7f73d0","1536.67","Grupo de control"
"7c32aa37-7047-4374-a567-70842e9702a9","3282.4","Grupo de control"
"857d4931-50ed-4715-972f-c05a821977df","502.93","Grupo de control"
"ab1cfb62-f612-4ade-a755-81c4040bdda8","12224.68","Grupo de control"
"b16639f3-c156-4f8d-a7f1-854d620da1d3","2065.3","Grupo de control"
"e87edd66-a92e-43b6-9017-b7c371595266","333.23","Grupo de control"
"f26f4b98-ec72-4cc3-b198-167c48a0ec80","1263.21","Sin asignar"
"957e99a8-c31b-4d62-a7cf-3f92c7f64253","1164.68","Sin asignar"
"e74ecd03-1219-4296-a7e0-2ec6b37f5c59","771.89","Grupo de control"
"dd3fed37-b169-4021-be40-4c2ae898b05b","232.32","Sin asignar"
"3df5dac5-c828-42df-9e5d-2543e935bd11","1052.26","Grupo de control"
"63581a9d-97ba-4e01-a722-e852e5e9f704","7496.16","Grupo de control"
"89405676-14ec-42fb-9bd7-6c0c0ea1b032","1453.37","Grupo de control"
"b463a8f3-1142-4f84-bc62-dfdfdd70f554","332.61","Grupo de control"
"ca0b6f8f-d6db-445b-b8ec-b97f364082db","413.68","Grupo de control"
"e8629b1d-526b-4534-97b3-2be9959112c7","2154.13","Grupo de control"
