"mes","id_ihfintech_loan","categoria","origen","saldo"
"julio","2cdb3d39-ab46-4777-a0ea-7b582a53cb4a","1. EN AMBOS","nuevos","3154.36"
"julio","668a0186-d6ab-47ef-a2c0-a9478de7ed01","1. EN AMBOS","nuevos","1139.6"
"julio","d30bf01a-d7e4-435e-a249-d471cc528335","1. EN AMBOS","stock","2726.6"
"julio","19724f90-b1d9-4ff4-8010-804d6482c8b0","1. EN AMBOS","nuevos","1389.94"
"julio","310ee08d-34f4-4c39-a101-7ef37d1f9833","1. EN AMBOS","nuevos","2090.0"
"julio","718058a0-4401-4ca7-aaea-c30fb3159a23","1. EN AMBOS","nuevos","1714.97"
"julio","45c91946-192e-4a11-bfae-0ce842e203a0","1. EN AMBOS","stock","2758.55"
"julio","1fc9d7dd-d9c0-464f-b484-3da13985b330","1. EN AMBOS","nuevos","1368.71"
"julio","389155fc-e92e-453c-ac13-7cce9b115db2","1. EN AMBOS","nuevos","1284.67"
"julio","7413b62a-0ffb-4d9d-8969-900bd35a3573","1. EN AMBOS","nuevos","419.61"
"julio","6c1e0276-dd41-47ab-b191-9ce2a323c067","1. EN AMBOS","stock","1463.19"
"julio","23a2470c-760c-48ce-adaa-1d15a27ccb31","1. EN AMBOS","nuevos","856.6"
"julio","45309bfb-6052-4582-842c-5aa70f90be80","1. EN AMBOS","nuevos","1746.6"
"julio","762c981d-4f18-41cb-803f-5bb7175745a2","1. EN AMBOS","nuevos","1036.0"
"julio","958c28c9-5989-46f0-b5fa-443f98d0c7ca","1. EN AMBOS","stock","303.49"
"julio","2cd3dc22-d603-44d2-ae6d-209be2a8020c","1. EN AMBOS","nuevos","3471.0"
"julio","487d6b81-953c-4dfa-8a8d-ffa7c15b2b2e","1. EN AMBOS","nuevos","2822.52"
"julio","7f38d5ec-6934-4ed4-a973-74398d968f3f","1. EN AMBOS","nuevos","660.68"
"julio","c62d10e6-cc2c-417f-bebe-7cd6c9743402","1. EN AMBOS","stock","150.48"
"julio","33337ebf-bbe6-472d-8513-b6d9642a0a94","1. EN AMBOS","nuevos","849.93"
"julio","4fb4834a-9a13-4157-b560-5e7fe0785351","1. EN AMBOS","nuevos","1613.39"
