"id_ihfintech_loan","origen","saldo","fecha_entrada","fecha_salida","dias_hasta_pago"
"62d9f4ec-197b-4047-9792-0c0913a69ab8","b. nuevos","409.13","20260823",,
"6336688d-6868-43f3-8ce4-63e5c06d4dd3","b. nuevos","211.9","20260823",,
"636501fc-70d9-4fe1-8fc5-9431cec4e7b5","b. nuevos","256.24","20260823",,
"64431537-139e-46c7-887e-de90f4d25a34","b. nuevos","1068.05","20260823",,
"66219ac6-4631-405d-8588-08db8450fe55","b. nuevos","1754.52","20260823",,
"67249721-b33c-4b7c-974a-fb21cc9b29e0","b. nuevos","12791.32","20260823",,
"68fed0ce-2092-46b3-a90d-05a0e0eec616","b. nuevos","1670.52","20260823",,
"6a5b06de-038e-4304-b475-3cf108e415c1","b. nuevos","6085.92","20260823",,
"6a990939-131e-414d-9992-3aec1a8526b3","b. nuevos","1074.87","20260823",,
"6b0a1f44-4ee0-4f30-93f3-9d4434295b7a","b. nuevos","2158.23","20260823",,
"6b4b0f7c-a891-4961-9233-7c6cfa46aa97","b. nuevos","1029.37","20260823",,
"70226cd4-8811-4d27-9f9b-ab614f31d4a9","b. nuevos","1347.34","20260823",,
"715ee334-2628-45a9-8d40-f5c02ac3f60b","b. nuevos","3120.51","20260823",,
"71e93fca-b235-4e9d-a623-811b5419270c","b. nuevos","302.8","20260823",,
"71f84bc2-b8c5-4be9-8b94-976144c8ecee","b. nuevos","1074.02","20260823",,
"72b84065-aa6e-46e6-8b5f-e87c3be93821","b. nuevos","1843.2","20260823",,
"72d53d92-0b0d-44e9-b686-1c908b6faa12","b. nuevos","757.92","20260823",,
"72fdad0e-0b60-4b26-84c4-c79fab726dd7","b. nuevos","1307.1","20260823",,
"7427c620-5ccc-486f-a267-1009b6d3686a","b. nuevos","453.72","20260823",,
"7439af0e-f275-45ef-9a15-8c8dfd0fe603","b. nuevos","3094.94","20260823",,
"75a4454f-d8e7-4756-a613-7e1573e7a582","b. nuevos","1560.0","20260823",,
"75b7bf14-31e3-4ebf-bbc6-5ba653ff3d77","b. nuevos","1282.61","20260823",,
"75eff44b-9823-497c-a2c9-63129175ebe6","b. nuevos","59.34","20260823",,
"761a6445-ba11-4657-9d40-5339db0187a5","b. nuevos","1904.89","20260823",,
"769cc01a-10f9-4b07-972b-c6f2ecb6398b","b. nuevos","1633.3","20260823",,
"76d0e5af-2cc0-4815-8394-82c3f21f2c9c","b. nuevos","2713.18","20260823",,
"778863a3-655a-4f61-a85c-64bfdb161547","b. nuevos","3208.73","20260823",,
"77a54d4b-1672-4d12-a5c4-8a6af403e683","b. nuevos","916.91","20260823",,
"787f5d5d-c0ca-4a5d-9301-f7333c708575","b. nuevos","495.47","20260823",,
"791ed0c2-dfe6-49b7-b493-abbf4e8e1274","b. nuevos","412.01","20260823",,
"7969400d-bb2a-4af3-a564-6df16284357b","b. nuevos","201.63","20260823",,
"79d36f42-f4a6-4292-9cb6-fc220e67f67e","b. nuevos","1578.61","20260823",,
"79deb2d4-4547-47ae-b8a0-345685dffa89","b. nuevos","1040.26","20260823",,
"7a0c1e1f-1430-403b-9c6b-92e243eee49c","b. nuevos","883.96","20260823",,
"7a74e11f-4139-4a1c-85e4-c96382e3f3a0","b. nuevos","551.15","20260823",,
"7ea76bbd-ab18-4c8b-96c5-8d21cf053664","b. nuevos","2657.5","20260823",,
"7ec1ac85-1162-422c-9f88-95095286a3cf","b. nuevos","5263.93","20260823",,
"801b2f28-8e2b-4429-bca3-213fa52df788","b. nuevos","807.49","20260823",,
"80a692af-9615-47b0-95ea-d47ed7b82eec","b. nuevos","3713.24","20260823",,
"82bb4071-370b-499c-bc3d-1e1978a6fab4","b. nuevos","562.84","20260823",,
"8381e752-b9be-4ebd-93cb-b7ca89d5b625","b. nuevos","2151.49","20260823",,
"84b27f5b-0f13-493c-a3b9-74ae204cfed5","b. nuevos","1564.71","20260823",,
"856d15d3-2d4f-4b1c-8f97-35cfc65a4776","b. nuevos","495.1","20260823",,
"85b18d5e-79bc-448f-ad3e-e2acf453bbe0","b. nuevos","511.86","20260823",,
"860bcd0c-58e6-4716-a29d-68ccc1254ce6","b. nuevos","1771.4","20260823",,
"879be24e-f4bd-49fd-aec8-1beccf032047","b. nuevos","447.62","20260823",,
"88fe7993-893c-473d-8735-9401eb3615e9","b. nuevos","774.17","20260823",,
"8b080ce3-fdf3-4cb4-a295-815ad8417d2f","b. nuevos","399.17","20260823",,
"8b59a6ca-7cb9-40ab-8ef3-157e642cac6c","b. nuevos","387.26","20260823",,
"8bbc4e41-9717-4e39-8ce8-1cdc44d0e851","b. nuevos","490.75","20260823",,
"8bdbd136-ba36-4566-90ea-296e0fa54c2f","b. nuevos","608.21","20260823",,
